NB_Thread;Run_ID;Eff
4;6;1.78767221242e-05
4;7;2.38201105253e-05
4;8;1.99925361198e-05
4;9;1.74030072397e-05
4;10;1.78460952744e-05
4;11;2.56831723855e-05
4;12;2.06953642384e-05
4;13;1.84383911889e-05
4;14;3.18687855868e-05
4;15;2.21526465028e-05
4;16;1.85423259494e-05
4;17;1.79528916124e-05
4;18;2.83639664171e-05
4;19;2.10851841439e-05
4;20;2.60272071072e-05
4;21;1.850024667e-05
4;22;2.22935616194e-05
4;23;3.93081761006e-05
4;24;2.61743561108e-05
4;25;2.10721510452e-05
4;26;2.04337401918e-05
4;27;2.33020567949e-05
4;28;2.04437660143e-05
4;29;1.86030360155e-05
4;30;2.67265341031e-05
4;31;2.37462006079e-05
4;32;2.92625829107e-05
4;33;2.29920294298e-05
4;34;2.58353427489e-05
4;35;2.13237802798e-05
4;36;1.85717115689e-05
4;37;2.38004569688e-05
4;38;2.679528403e-05
4;39;2.02221742882e-05
4;40;1.99457475666e-05
4;41;2.0552449852e-05
4;42;2.37883785841e-05
4;43;1.68048397939e-05
4;44;2.74644792735e-05
4;45;2.32083178611e-05
4;46;2.43981782694e-05
4;47;2.10721510452e-05
4;48;1.94784957407e-05
4;49;2.73084765511e-05
4;50;2.53618287569e-05
4;51;1.85892033907e-05
4;52;1.92169724301e-05
4;53;1.78528921685e-05
4;54;2.23680286311e-05
4;55;1.86706497386e-05
4;56;2.14592274678e-05
4;57;2.57219288017e-05
4;58;2.25374121041e-05
4;59;2.13931199726e-05
4;60;1.90065889508e-05
4;61;1.87650120096e-05
4;62;1.83535630384e-05
4;63;2.29863920559e-05
4;64;2.86894652284e-05
4;65;2.29329745597e-05
4;66;2.15852184424e-05
4;67;3.37990085624e-05
4;68;2.60688216893e-05
4;69;3.0612244898e-05
4;70;2.65449139945e-05
4;71;1.92130341223e-05
4;72;1.7161685964e-05
4;73;2.30160191493e-05
4;74;2.16913465988e-05
4;75;1.79899256416e-05
4;76;2.01732207219e-05
4;77;1.98025030364e-05
4;78;1.86252110857e-05
4;79;2.00277718436e-05
4;80;1.99213769656e-05
4;81;2.94764974061e-05
4;82;3.09738168002e-05
4;83;3.46580406654e-05
4;84;2.64345129e-05
4;85;2.14518620216e-05
4;86;2.51306795336e-05
4;87;2.81573809881e-05
4;88;3.73097204258e-05
4;89;2.75532696547e-05
4;90;2.29133569596e-05
4;91;3.07452652292e-05
4;92;2.47312537097e-05
4;93;1.86252110857e-05
4;94;1.89988853987e-05
4;95;2.54755434783e-05
4;96;2.18952531091e-05
4;97;3.23974082073e-05
4;98;2.19131654298e-05
4;99;2.35789738431e-05
8;0;1.95099110348e-05
8;1;2.10721510452e-05
8;2;2.72449869224e-05
8;3;2.75654219347e-05
8;4;2.26271646654e-05
8;5;2.41266164833e-05
8;6;2.2349365278e-05
8;7;2.31395779341e-05
8;8;2.22209054278e-05
8;9;2.18467812409e-05
8;10;2.82954802686e-05
8;11;2.54997960016e-05
8;12;2.81130519529e-05
8;13;2.08599877621e-05
8;14;2.72568687309e-05
8;15;2.19555035129e-05
8;16;2.07434450714e-05
8;17;2.23907332219e-05
8;18;2.12548886244e-05
8;19;2.19567890392e-05
8;20;2.40554236962e-05
8;21;2.63750175833e-05
8;22;1.8913602663e-05
8;23;2.60217889112e-05
8;24;2.7478566718e-05
8;25;2.20887082523e-05
8;26;2.21343406918e-05
8;27;2.62697022767e-05
8;28;2.3552317548e-05
8;29;2.60109592842e-05
8;30;1.96902074035e-05
8;31;1.7604807286e-05
8;32;2.03318152245e-05
8;33;2.72806634657e-05
8;34;2.77818936139e-05
8;35;2.11720867209e-05
8;36;2.08009762592e-05
8;37;2.63342696629e-05
8;38;2.40246011916e-05
8;39;2.77243826704e-05
8;40;2.91420578178e-05
8;41;2.11172429328e-05
8;42;2.34594932749e-05
8;43;2.67876276877e-05
8;44;1.94916575706e-05
8;45;2.80877836866e-05
8;46;2.5557145778e-05
8;47;2.2533349357e-05
8;48;2.67704169046e-05
8;49;2.76650682405e-05
8;50;2.55554041161e-05
8;51;2.38004569688e-05
8;52;1.83248631744e-05
8;53;2.87952084773e-05
8;54;1.99351443304e-05
8;55;2.00996944846e-05
8;56;2.43950039032e-05
8;57;2.26873979067e-05
8;58;2.24201841444e-05
8;59;1.87800480769e-05
8;60;2.70289750613e-05
8;61;2.86325112621e-05
8;62;2.66486640136e-05
8;63;2.49617253545e-05
8;64;2.7773663161e-05
8;65;2.13723925681e-05
8;66;2.10402289177e-05
